"","vVirusNameCorrected","hHostNameFinal","WildDomInReference","DetectionMethod","DetectionQuality","Reference"
"1","Bovine_herpesvirus_1","Alces_alces","domestic","VNT",1,"Kocan et al. 1986"
"2","Bovine_viral_diarrhea_virus_1","Alces_alces","wild","Antibodies",0,"Thorsen and Henderson 1971"
"3","European_elk_papillomavirus","Alces_alces","wild","Isolation",2,"Moreno-Lopez et al. 1986"
"4","Ovine_herpesvirus_2","Alces_alces","wild","PCR",2,"Vikoren et al. 2006"
"5","St._Louis_encephalitis_virus","Alces_alces","domestic","Antibodies",0,"Trainer et al. 1971"
"6","Influenza_A_virus","Arctocephalus_australis","wild","Antibodies",0,"Blanc et al. 2009"
"7","Canine_adenovirus","Canis_lupus","wild","Antibodies",0,"Almberg et al. 2009"
"8","Canine_coronavirus","Canis_lupus","wild","PCR",2,"Zarnke et al. 2001"
"9","Rabies_virus","Canis_lupus","wild","PCR",2,"Kuzmin et al. 2004"
"10","Vesicular_stomatitis_Indiana_virus","Cebus_capucinus","wild","plaque reduction neutralization",1,"Tesh et al. 1969"
"11","Simian_foamy_virus","Cercopithecus_mitis","wild","PCR",2,"Hussain et al. 2003"
"12","Simian_virus_10","Cercopithecus_mitis","wild","Isolation",2,"Mahy 2009"
"13","Bluetongue_virus","Cervus_elaphus","wild","Antibodies",0,"Ruiz-Fons et al. 2008"
"14","Bovine_herpesvirus_1","Cervus_elaphus","wild","PCR",2,"Kalman & Egyed 2005"
"15","Bovine_herpesvirus_2","Cervus_elaphus","wild","PCR",2,"Kalman & Egyed 2005"
"16","Bovine_herpesvirus_4","Cervus_elaphus","wild","PCR",2,"Kalman & Egyed 2005"
"17","Bovine_viral_diarrhea_virus_1","Cervus_elaphus","domestic","PCR",2,"Glawishnig et al. 2010"
"18","Caprine_herpesvirus_1","Cervus_elaphus","domestic","Antibodies",0,"Frolich et al. 2006"
"19","Cervid_herpesvirus_1","Cervus_elaphus","domestic","PCR",2,"Squires 2012"
"20","Deer_adenovirus","Cervus_elaphus","domestic","micropsy",0,"Horner & Read 1982"
"21","Epizootic_hemorrhagic_disease_virus","Cervus_elaphus","domestic","Antibodies",0,"Nol et al. 2010"
"22","Ovine_herpesvirus_2","Cervus_elaphus","wild","PCR",2,"Vikoren et al. 2006"
"23","Parapoxvirus_of_red_deer_in_New_Zealand","Cervus_elaphus","domestic","DNA RFLP",2,"Horner et al. 1987"
"24","Thiafora_virus","Cervus_elaphus","wild","Antibodies",0,"Chastel 1989"
"25","Vesicular_stomatitis_Indiana_virus","Cervus_elaphus","wild","SNT",1,"Webb et al. 1987"
"26","Bunyamwera_virus","Eidolon_helvum","wild","Antibodies",0,"Geevarghesse & Banerjee 1990"
"27","Hendra_virus","Eidolon_helvum","wild","Antibodies",0,"Hayman et al. 2008"
"28","Ife_virus","Eidolon_helvum","wild","Isolation",2,"Esona et al. 2010"
"29","Lagos_bat_virus","Eidolon_helvum","wild","Isolation",2,"Calisher et al. 2006"
"30","Mokola_virus","Eidolon_helvum","wild","Antibodies",0,"Kemp et al. 1972"
"31","Nipah_virus","Eidolon_helvum","wild","Antibodies",0,"Hayman et al. 2008"
"32","Usutu_virus","Eidolon_helvum","wild","Antibodies",0,"Geevarghese & Banerjee 1990"
"33","West_Nile_virus","Eidolon_helvum","wild","Antibodies",0,"Geevarghese & Banerjee 1990"
"34","Zaire_ebolavirus","Eidolon_helvum","wild","PCR",2,"Leroy et al. 2004"
"35","Zika_virus","Eidolon_helvum","wild","Antibodies",0,"Simpson et al. 1968"
"36","Bluetongue_virus","Elephas_maximus","domestic","Antibodies",0,"Bhat et al. 1998"
"37","Bovine_herpesvirus_2","Elephas_maximus","wild","PHA",0,"Bhat et al. 1997"
"38","Foot-and-mouth_disease_virus","Elephas_maximus","wild","Isolation",2,"Barman et al. 1999"
"39","Rabies_virus","Elephas_maximus","domestic","PCR",2,"Nanayakkara et al. 2003"
"40","Hepatitis_B_virus","Gorilla_beringei","wild","Antibodies",0,"Sa-Nguanmoo et al. 2009"
"41","Human_adenovirus_B","Gorilla_beringei","wild","PCR",2,"Roy et al. 2009"
"42","Human_adenovirus_C","Gorilla_beringei","wild","PCR",2,"Roy et al. 2009"
"43","Human_herpesvirus_1","Gorilla_beringei","wild","Antibodies",0,"Fowler & Miller 2003"
"44","Human_metapneumovirus","Gorilla_beringei","wild","PCR",2,"Palacios et al. 2011"
"45","Adeno-associated_virus-1","Homo_sapiens","human","Antibodies",0,"Xiao et al. 1999"
"46","Adeno-associated_virus-2","Homo_sapiens","human","Isolation",2,"Gao et al. 2003"
"47","Adeno-associated_virus-5","Homo_sapiens","human","Isolation",2,"Bantel-Schaal & zur Hausen 1984"
"48","African_green_monkey_polyomavirus","Homo_sapiens","human","Antibodies",0,"Takemoto & Segawa 1983"
"49","Aichi_virus","Homo_sapiens","human","Isolation",2,"Yamashita et al. 1995"
"50","Aleutian_mink_disease_virus","Homo_sapiens","human","Antibodies",0,"Jepsen et al. 2009"
"51","Andes_virus","Homo_sapiens","human","PCR",2,"Medina et al. 2009"
"52","Anopheles_A_virus","Homo_sapiens","human","Isolation",2,NA
"53","Aroa_virus","Homo_sapiens","human","Isolation",2,"Shrihongse and Johnson 1971"
"54","Aura_virus","Homo_sapiens","human","Hemagglutination inhibition assay; Neutralization test",0,"Sabattini et al. 1965"
"55","Australian_bat_lyssavirus","Homo_sapiens","human","PCR",2,"Allworth et al. 2006"
"56","Bangui_virus","Homo_sapiens","human","Isolation",2,"Digoutte et al. 1973"
"57","Banna_virus","Homo_sapiens","human","Isolation",2,"Attoui et al. 2005"
"58","Banzi_virus","Homo_sapiens","human","Isolation",2,"Smithburn et al. 1959"
"59","Barmah_Forest_virus","Homo_sapiens","human","PCR",2,"Attoui et al. 2007"
"60","Bayou_virus","Homo_sapiens","human","PCR",2,"Morzunov et al. 1995"
"61","Bebaru_virus","Homo_sapiens","human","Isolation",2,"Attoui et al. 2007"
"62","Bhanja_virus","Homo_sapiens","human","Antibodies",0,"Calisher et al. 2006"
"63","BK_polyomavirus","Homo_sapiens","human","Isolation",2,"Gardner et al. 1971"
"64","Black_Creek_Canal_virus","Homo_sapiens","human","PCR",2,"Ravkov et al. 1995"
"65","Borna_disease_virus","Homo_sapiens","human","Antibodies",0,"Kinnunen et al. 2007"
"66","Bouboui_virus","Homo_sapiens","human","Isolation",2,"Digoutte JP et al 1971"
"67","Bovine_leukemia_virus","Homo_sapiens","human","Antibodies",0,"Buehring et al. 2003"
"68","Bovine_papular_stomatitis_virus","Homo_sapiens","human","Isolation",2,"McEvoy 1972"
"69","Bunyamwera_virus","Homo_sapiens","human","Isolation",2,"Tauro et al. 2009"
"70","Bwamba_virus","Homo_sapiens","human","Isolation",2,"Bowen et al. 1973"
"71","Cacipacore_virus","Homo_sapiens","human","Isolation",2,"Batista et al. 2011"
"72","California_encephalitis_virus","Homo_sapiens","human","Isolation",2,"Taylor et al. 1985"
"73","Camelpox_virus","Homo_sapiens","human","Antibodies",0,"Bera et al. 2011"
"74","Canine_distemper_virus","Homo_sapiens","human","PCR",2,"Mee et al. 1998"
"75","Caraparu_virus","Homo_sapiens","human","Isolation",2,"de Brito Magalhaes et al. 2007"
"76","Catu_virus","Homo_sapiens","human","Isolation",2,"Zuckerman et al. 2009"
"77","Cercopithecine_herpesvirus_1","Homo_sapiens","human","Isolation",2,"Huff et al. 2003"
"78","Chagres_virus","Homo_sapiens","human","Isolation",2,"Peralta et al. 1965"
"79","Chandipura_virus","Homo_sapiens","human","Isolation",2,"Bhatt and Rodriguez 1967"
"80","Candiru_virus","Homo_sapiens","human","Isolation",2,"da Rosa 1983"
"81","Changuinola_virus","Homo_sapiens","human","Isolation",2,"da Rosa et al. 1984"
"82","Chikungunya_virus","Homo_sapiens","human","Isolation",2,"Calisher et al. 1994"
"83","Colorado_tick_fever_virus","Homo_sapiens","human","PCR",2,"Lambert et al. 2007"
"84","Corriparta_virus","Homo_sapiens","human","Antibodies",0,"Doherty et al. 1970"
"85","Cote_d'Ivoire_ebolavirus","Homo_sapiens","human","Isolation",2,"Formenty et al. 1999"
"86","Cowpox_virus","Homo_sapiens","human","Isolation",2,"Davies et al. 1938"
"87","Crimean-Congo_hemorrhagic_fever_virus","Homo_sapiens","human","PCR",2,"Mourya et al. 2012"
"88","Dengue_virus","Homo_sapiens","human","Isolation",2,"CDC Arbocat Report 1985"
"89","Dera_Ghazi_Khan_virus","Homo_sapiens","human","Antibodies",0,"Darwish et al. 1983"
"90","Dhori_virus","Homo_sapiens","human","Antibodies",0,"Darwish et al. 1983"
"91","Dobrava-Belgrade_virus","Homo_sapiens","human","Isolation",2,"Gligic et al. 1992"
"92","Dugbe_virus","Homo_sapiens","human","Antibodies",0,"Burt et al. 1996"
"93","Duvenhage_virus","Homo_sapiens","human","Isolation",2,"Paweska et al. 2006"
"94","Eastern_equine_encephalitis_virus","Homo_sapiens","human","Antibodies",0,"Harvala et al. 2009"
"95","Encephalomyocarditis_virus","Homo_sapiens","human","PCR",2,"Oberste et al. 2009"
"96","European_bat_lyssavirus_1","Homo_sapiens","human","PCR",2,"Fooks et al. 2003"
"97","European_bat_lyssavirus_2","Homo_sapiens","human","PCR",2,"Fooks et al. 2003"
"98","Everglades_virus","Homo_sapiens","human","Isolation",2,"Calisher et al. 1980"
"99","Flexal_virus","Homo_sapiens","human","Antibodies",0,"CDC ArboCat"
"100","Foot-and-mouth_disease_virus","Homo_sapiens","human","Isolation",2,"Ghoneim et al. 2010"
"101","Gan_Gan_virus","Homo_sapiens","human","Antibodies",0,"Vale et al. 1986"
"102","GB_virus_C","Homo_sapiens","human","PCR",2,"Kao et al. 1999"
"103","Getah_virus","Homo_sapiens","human","Isolation",2,"Attoui et al. 2007"
"104","Gibbon_ape_leukemia_virus","Homo_sapiens","human","Antibodies",0,"Aoki et al. 1976"
"105","Great_Island_virus","Homo_sapiens","human","Isolation",2,"Belhouchet et al. 2010"
"106","Guama_virus","Homo_sapiens","human","Isolation",2,"Zuckerman et al. 2009"
"107","Guanarito_virus","Homo_sapiens","human","Isolation",2,"Abraham et al. 2009"
"108","Guaroa_virus","Homo_sapiens","human","Isolation",2,"Groot et al. 1959"
"109","Hantaan_virus","Homo_sapiens","human","Antibodies",0,"Grygorczuk et al. 2008"
"110","Hendra_virus","Homo_sapiens","human","Isolation",2,"Tulsiani et al. 2011"
"111","Hepatitis_A_virus","Homo_sapiens","human","Isolation",2,"Braga et al. 2009"
"112","Hepatitis_B_virus","Homo_sapiens","human","PCR",2,"Ghosh et al. 2010"
"113","Hepatitis_C_virus","Homo_sapiens","human","PCR",2,"Abreha et al. 2011"
"114","Hepatitis_delta_virus","Homo_sapiens","human","PCR",2,"Tedder et al. 2012"
"115","Hepatitis_E_virus","Homo_sapiens","human","Antibodies",0,"Al-Nasrawi et al. 2010"
"116","Human_adenovirus_A","Homo_sapiens","human","PCR",2,"Roy et al. 2009"
"117","Human_adenovirus_B","Homo_sapiens","human","PCR",2,"Roy et al. 2009"
"118","Human_adenovirus_C","Homo_sapiens","human","PCR",2,"Roy et al. 2009"
"119","Human_adenovirus_D","Homo_sapiens","human","PCR",2,"Roy et al. 2009"
"120","Human_adenovirus_E","Homo_sapiens","human","PCR",2,"Roy et al. 2009"
"121","Human_adenovirus_F","Homo_sapiens","human","PCR",2,"Roy et al. 2009"
"122","Human_astrovirus","Homo_sapiens","human","PCR",2,"Dai et al. 2010"
"123","Human_coronavirus_229E","Homo_sapiens","human","Isolation",2,"Hamre & Procknow 1966"
"124","Human_coronavirus_OC43","Homo_sapiens","human","PCR",2,"Risku et al. 2010"
"125","Human_enterovirus_A","Homo_sapiens","human","PCR",2,"Oberste 2004"
"126","Human_enterovirus_B","Homo_sapiens","human","PCR",2,"Gomes et al. 2009"
"127","Human_enterovirus_C","Homo_sapiens","human","Isolation",2,"Dalldorf & Sickles 1948"
"128","Human_enterovirus_D","Homo_sapiens","human","Isolation",2,"Schieble et al. 1967"
"129","Human_herpesvirus_1","Homo_sapiens","human","PCR",2,"Mackay et al. 2003"
"130","Human_herpesvirus_2","Homo_sapiens","human","Isolation",2,"Nahmias & Dowdle 1968"
"131","Human_herpesvirus_3","Homo_sapiens","human","PCR",2,"Mackay et al. 2003"
"132","Human_herpesvirus_4","Homo_sapiens","human","PCR",2,"Mackay et al. 2003"
"133","Human_herpesvirus_5","Homo_sapiens","human","PCR",2,"Mackay et al. 2003"
"134","Human_herpesvirus_6","Homo_sapiens","human","PCR",2,"Costa et al. 2010"
"135","Human_herpesvirus_7","Homo_sapiens","human","PCR",2,"Astegiano et al. 2010"
